exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,causalmorph_mean_shd,causalmorph_mean_norm_shd,causalmorph_mean_f1,causalmorph_mean_precision,causalmorph_mean_recall,causalmorph_cons_norm_shd,causalmorph_cons_f1,directlingam_mean_shd,directlingam_mean_norm_shd,directlingam_mean_f1,directlingam_mean_precision,directlingam_mean_recall,directlingam_cons_norm_shd,directlingam_cons_f1,icalingam_mean_shd,icalingam_mean_norm_shd,icalingam_mean_f1,icalingam_mean_precision,icalingam_mean_recall,icalingam_cons_norm_shd,icalingam_cons_f1,status,error_msg
56,1777522753,4,5,3455,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.166,0.666,0.666,0.666,9,0.75,0.4,0.25,1.0,2.0,0.166,0.666,0.666,0.666,0.75,0.4,3.0,0.25,0.25,0.2,0.334,0.75,0.4,4.0,0.334,0.125,0.1,0.166,0.75,0.4,ok,
57,1777522754,4,5,3565,4,1,0.4,1.0,0.25,1,0,3,2,3.0,0.25,0.5,0.584,0.45,7,0.583,0.588,0.417,1.0,3.0,0.25,0.5,0.584,0.45,0.583,0.588,7.5,0.625,0.0,0.0,0.0,0.583,0.588,7.5,0.625,0.0,0.0,0.0,0.583,0.588,ok,
58,1777522755,4,5,3442,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.167,0.584,0.5,0.75,10,0.833,0.286,0.167,1.0,2.0,0.167,0.584,0.5,0.75,0.833,0.286,4.0,0.333,0.166,0.125,0.25,0.833,0.286,5.5,0.458,0.0,0.0,0.0,0.833,0.286,ok,
59,1777522756,4,5,3463,4,1,0.4,1.0,0.25,1,0,3,2,1.5,0.125,0.786,0.75,0.834,8,0.667,0.5,0.333,1.0,1.5,0.125,0.786,0.75,0.834,0.667,0.5,4.0,0.334,0.125,0.1,0.166,0.667,0.5,4.0,0.334,0.125,0.1,0.166,0.667,0.5,ok,
60,1777522757,4,5,3223,4,2,0.6667,1.0,0.5,2,0,2,3,3.333,0.278,0.356,0.333,0.444,5,0.417,0.444,0.333,0.667,3.333,0.278,0.356,0.333,0.444,0.417,0.444,5.0,0.417,0.0,0.0,0.0,0.5,0.25,5.0,0.417,0.0,0.0,0.0,0.5,0.25,ok,
61,1777522758,4,5,3514,4,3,0.2857,0.3333,0.25,1,2,3,4,0.75,0.062,0.784,0.792,0.875,1,0.083,0.8,0.667,1.0,0.75,0.062,0.784,0.792,0.875,0.083,0.8,4.0,0.333,0.0,0.0,0.0,0.333,0.333,4.0,0.333,0.0,0.0,0.0,0.333,0.333,ok,
62,1777522759,4,5,3277,4,2,0.6667,1.0,0.5,2,0,2,3,1.667,0.139,0.667,0.75,0.778,1,0.083,0.857,0.75,1.0,1.667,0.139,0.667,0.75,0.778,0.083,0.857,5.333,0.444,0.111,0.067,0.333,0.417,0.545,5.667,0.472,0.0,0.0,0.0,0.583,0.0,ok,
63,1777522760,4,5,3371,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.084,0.75,0.75,0.75,10,0.833,0.286,0.167,1.0,1.0,0.084,0.75,0.75,0.75,0.833,0.286,2.0,0.166,0.5,0.5,0.5,0.833,0.286,4.0,0.333,0.0,0.0,0.0,0.833,0.286,ok,
64,1777522761,4,5,3527,4,4,0.75,0.75,0.75,3,1,1,5,2.6,0.217,0.558,0.583,0.583,4,0.333,0.6,0.5,0.75,2.4,0.2,0.565,0.6,0.583,0.25,0.667,5.8,0.483,0.0,0.0,0.0,0.583,0.222,5.8,0.483,0.0,0.0,0.0,0.583,0.222,ok,
65,1777522762,4,5,3428,4,3,0.8571,1.0,0.75,3,0,1,4,2.0,0.167,0.667,0.667,0.667,2,0.167,0.667,0.667,0.667,2.0,0.167,0.667,0.667,0.667,0.167,0.667,6.25,0.521,0.0,0.0,0.0,0.583,0.0,6.25,0.521,0.0,0.0,0.0,0.583,0.0,ok,
66,1777522763,4,5,3684,4,3,0.8571,1.0,0.75,3,0,1,4,3.75,0.312,0.392,0.458,0.375,3,0.25,0.667,0.6,0.75,4.0,0.333,0.381,0.438,0.375,0.333,0.6,7.25,0.604,0.0,0.0,0.0,0.75,0.0,7.25,0.604,0.0,0.0,0.0,0.75,0.0,ok,
67,1777522764,4,5,3611,4,1,0.4,1.0,0.25,1,0,3,2,4.5,0.375,0.2,0.125,0.5,9,0.75,0.4,0.25,1.0,4.5,0.375,0.2,0.125,0.5,0.75,0.4,4.5,0.375,0.2,0.125,0.5,0.75,0.4,5.5,0.458,0.0,0.0,0.0,0.75,0.4,ok,
68,1777522765,4,5,3486,4,4,0.25,0.25,0.25,1,3,3,5,1.4,0.117,0.62,0.7,0.567,3,0.25,0.571,0.5,0.667,1.4,0.117,0.62,0.7,0.567,0.25,0.571,4.2,0.35,0.08,0.067,0.1,0.583,0.364,4.6,0.383,0.0,0.0,0.0,0.75,0.0,ok,
69,1777522766,4,5,3746,4,3,0.8571,1.0,0.75,3,0,1,4,3.0,0.25,0.546,0.542,0.562,2,0.167,0.8,0.667,1.0,3.0,0.25,0.546,0.542,0.562,0.167,0.8,6.25,0.521,0.0,0.0,0.0,0.75,0.182,6.25,0.521,0.0,0.0,0.0,0.75,0.0,ok,
70,1777522767,4,5,3492,4,2,0.6667,1.0,0.5,2,0,2,3,1.0,0.083,0.5,0.5,0.5,3,0.25,0.4,0.333,0.5,1.0,0.083,0.5,0.5,0.5,0.25,0.4,2.0,0.167,0.167,0.167,0.167,0.25,0.4,2.667,0.222,0.0,0.0,0.0,0.417,0.0,ok,
71,1777522768,4,5,3408,4,3,0.8571,1.0,0.75,3,0,1,4,1.5,0.125,0.65,0.75,0.584,0,0.0,1.0,1.0,1.0,1.5,0.125,0.65,0.75,0.584,0.0,1.0,4.5,0.375,0.125,0.125,0.125,0.417,0.286,5.0,0.416,0.0,0.0,0.0,0.5,0.0,ok,
